year,co2_emissions_value,electric_consumption_kwh_per_capita,gdp_per_capita_ppp,population
1990,6140.0,119.380172,3184.33351142953,23516237.0
1991,6180.0,120.843484,3218.06451900426,24179637.0
1992,6250.0,118.803619,3270.72153851155,24839532.0
1993,6270.0,119.026602,3353.07966871463,25512515.0
1994,6720.0,122.106762,3507.27317730614,26178093.0
1995,7300.0,126.445885,3756.62032217182,26819715.0
1996,7900.0,121.456087,3894.48194078647,27437887.0
1997,8440.0,127.682406,4016.41823789735,28050177.0
1998,8780.0,125.375011,4114.11736875747,28681447.0
1999,9070.0,123.892164,4249.08002701074,29332839.0
2000,9270.0,121.781998,4376.67215998245,30005038.0
2001,9410.0,123.375747,4480.90315067227,30704121.0
2002,9269.99950408936,125.781022,4712.29704184444,31412119.0
2003,9389.99938964844,129.293299,4957.82015639712,32131836.0
2004,10029.9997329712,131.543843,5243.88646163659,32861568.0
2005,10580.0003051758,136.676423,5701.58879354208,33610571.0
2006,11550.0001907349,139.255354,6198.50006960524,34385841.0
2007,12330.0008773804,142.718246,6610.59361090076,35185648.0
2008,14509.9992752075,141.885695,6747.63056837068,36003646.0
2009,14709.9990844727,145.374029,6851.44099056124,36836989.0
2010,14829.9999237061,149.560086,7155.72413728074,37696098.0
2011,14950.0007629395,152.876624,7426.1733231609,38572182.0
2012,15129.9991607666,155.806167,7675.74211405132,39467051.0
2013,16040.0009155273,159.401013,8148.04865404857,40366236.0
2014,16960.000038146,162.548277,8298.34941569827,41258092.0
2015,17530.0006866455,166.378029,8326.56567332103,42141372.0
2016,18580.0008773804,171.181641,8446.76980672652,43021153.0
2017,18690.0005340576,175.186216,8536.02441887059,43897853.0
2018,19040.0009155273,177.153873,8564.15557183006,44766462.0
2019,20850.0003814697,179.495601,9203.8517513532,45631835.0
2020,19320.41358,181.342316,9264.04858528355,46504484.0
2021,20755.47474,184.097149,9846.20708043753,47379449.0
2022,21700.9844,186.722181,10434.4813469258,48266281.0
2023,21734.0,189.239193,11245.1491471111,49145229.0
