country_code,country_name,year,value
KEN,Kenya,1960,8105698
KEN,Kenya,1961,8352297
KEN,Kenya,1962,8604946
KEN,Kenya,1963,8865453
KEN,Kenya,1964,9135555
KEN,Kenya,1965,9416649
KEN,Kenya,1966,9709760
KEN,Kenya,1967,10013657
KEN,Kenya,1968,10326997
KEN,Kenya,1969,10650656
KEN,Kenya,1970,10987746
KEN,Kenya,1971,11343769
KEN,Kenya,1972,11715801
KEN,Kenya,1973,12103838
KEN,Kenya,1974,12507974
KEN,Kenya,1975,12926927
KEN,Kenya,1976,13360781
KEN,Kenya,1977,13808904
KEN,Kenya,1978,14270819
KEN,Kenya,1979,14744901
KEN,Kenya,1980,15230374
KEN,Kenya,1981,15725310
KEN,Kenya,1982,16229808
KEN,Kenya,1983,16741863
KEN,Kenya,1984,17259682
KEN,Kenya,1985,17781556
KEN,Kenya,1986,18306983
KEN,Kenya,1987,18835926
KEN,Kenya,1988,19368095
KEN,Kenya,1989,19904685
KEN,Kenya,1990,20445156
KEN,Kenya,1991,20991148
KEN,Kenya,1992,21540167
KEN,Kenya,1993,22092304
KEN,Kenya,1994,22647647
KEN,Kenya,1995,23205327
KEN,Kenya,1996,23769768
KEN,Kenya,1997,24340789
KEN,Kenya,1998,24918065
KEN,Kenya,1999,25498863
KEN,Kenya,2000,26080772
KEN,Kenya,2001,26664054
KEN,Kenya,2002,27247995
KEN,Kenya,2003,27832969
KEN,Kenya,2004,28424118
KEN,Kenya,2005,29023563
KEN,Kenya,2006,29635313
KEN,Kenya,2007,30259668
KEN,Kenya,2008,30895697
KEN,Kenya,2009,31544339
KEN,Kenya,2010,32208165
KEN,Kenya,2011,32880528
KEN,Kenya,2012,33560389
KEN,Kenya,2013,34256433
KEN,Kenya,2014,34987254
KEN,Kenya,2015,35761635
KEN,Kenya,2016,36586660
KEN,Kenya,2017,37467698
KEN,Kenya,2018,38400368
KEN,Kenya,2019,39350420
KEN,Kenya,2020,40311021
KEN,Kenya,2021,41270015
KEN,Kenya,2022,42215935
KEN,Kenya,2023,43135861
