year,co2_emissions_value,electric_consumption_kwh_per_capita,gdp_per_capita_ppp,population
1990,-1.3355419512820927,-1.1252011320270265,-1.341635783657227,-1.5557521468089697
1991,-1.3276943376077919,-1.0626350048603066,-1.3272220292922556,-1.469373889230774
1992,-1.3139610136777653,-1.1498525312613348,-1.304720912387044,-1.383452001554314
1993,-1.3100372068406148,-1.1403185544101804,-1.2695280751711513,-1.2958259856969927
1994,-1.2217515530047296,-1.0086216351927855,-1.2036389269567902,-1.2091641407732958
1995,-1.1079611547273664,-0.8230958406868705,-1.0970892340744067,-1.1256214962393236
1996,-0.9902469496128528,-1.0364422331200942,-1.0381789420332765,-1.0451321681663233
1997,-0.8843041650097905,-0.77022650719523,-0.9860737734925336,-0.9654087082137254
1998,-0.8175994487782328,-0.8688826850943067,-0.9443255016459511,-0.8832139499059357
1999,-0.7607042496395512,-0.9322840608574998,-0.8866539778945064,-0.7983991986843859
2000,-0.7214661812680466,-1.0225074132928575,-0.8321319877202565,-0.7108752638550135
2001,-0.6939995334079935,-0.9543642540719718,-0.7875925563471421,-0.6198508872458217
2002,-0.7214662785609248,-0.8515230681041592,-0.688714552139251,-0.5276657295598894
2003,-0.6979234599902252,-0.7013503302145325,-0.5837989235075035,-0.433954694875828
2004,-0.5723615738448008,-0.6051249031707443,-0.4615585947334041,-0.33893965318295494
2005,-0.46445677356214743,-0.3856736494576859,-0.26597567389285737,-0.24141542336558774
2006,-0.27415216441254964,-0.2754075374458956,-0.05363819602502709,-0.14047108849575377
2007,-0.12112356305046641,-0.12734633024154263,0.12245541951448223,-0.03633190390298311
2008,0.306571067868084,-0.1629433127980853,0.18101332175082702,0.07017584699006635
2009,0.345809098819263,-0.01379429424018826,0.22537303803453734,0.17868159963550867
2010,0.36935210449165345,0.16518693094564946,0.355397690411098,0.29054222443162897
2011,0.3928951101640439,0.30699055058469965,0.4709645949824118,0.40461308577039307
2012,0.4282090573675489,0.4322476111967728,0.577609000462677,0.5211298554127544
2013,0.6067426127249962,0.5859507120944458,0.7794325136621447,0.6382085915304059
2014,0.7872375551001802,0.7205167647552865,0.8436582340023183,0.7543330523242849
2015,0.8990661771883066,0.8842636284788117,0.8557154548123453,0.8693408716695801
2016,1.1050660735590505,1.0896493556863949,0.9070804443912202,0.9838931023454961
2017,1.1266469438067603,1.260871042311439,0.9452202495107448,1.09804417020622
2018,1.1953136382975644,1.3450012059966183,0.9572411038496772,1.211141746233864
2019,1.5504180522827375,1.4451253434586688,1.2305926655968196,1.3238179776104333
2020,1.2503278948016423,1.5240844482365223,1.256315655812832,1.437441583424957
2021,1.5318730343684956,1.6418715174337106,1.5050805209607416,1.5513667449291868
2022,1.7173728977934857,1.7541087477227464,1.7564587449171445,1.666837053829679
2023,1.7238502396441167,1.8617274188415234,2.102868988298559,1.7812808234133994
